iter	Passed	Remaining
711	2870	1161
712	2871	1156
713	2873	1150
714	2874	1145
715	2876	1141
716	2877	1135
717	2879	1130
718	2880	1125
719	2882	1120
720	2883	1115
721	2885	1111
722	2886	1106
723	2888	1100
724	2889	1095
725	2890	1090
726	2891	1085
727	2894	1081
728	2895	1076
729	2896	1071
730	2898	1066
731	2899	1061
732	2900	1056
733	2902	1051
734	2903	1047
735	2905	1042
736	2906	1037
737	2909	1032
738	2911	1028
739	2913	1023
740	2915	1018
741	2916	1014
742	2918	1009
743	2921	1005
744	2923	1000
745	2924	995
746	2926	991
747	2927	986
748	2929	981
749	2930	976
750	2932	972
751	2933	967
752	2934	962
753	2935	957
754	2937	953
755	2939	948
756	2940	944
757	2942	939
758	2943	934
759	2944	929
760	2946	925
761	2948	920
762	2949	916
763	2951	911
764	2952	906
765	2953	902
766	2955	897
767	2957	893
768	2958	888
769	2959	884
770	2961	879
771	2962	874
772	2963	870
773	2966	866
774	2967	861
775	2968	857
776	2970	852
777	2971	847
778	2973	843
779	2975	839
780	2976	834
781	2977	830
782	2979	825
783	2980	821
784	2983	817
785	2984	812
786	2985	808
787	2986	803
788	2988	799
789	2989	794
790	2991	790
791	2993	786
792	2994	781
793	2995	777
794	2996	772
795	2998	768
796	2999	763
797	3001	759
798	3002	755
799	3003	750
800	3004	746
801	3006	742
802	3007	737
803	3009	733
804	3010	729
805	3012	724
806	3013	720
807	3014	716
808	3016	712
809	3017	707
810	3019	703
811	3020	699
812	3022	695
813	3023	690
814	3026	686
815	3027	682
816	3029	678
817	3030	674
818	3031	669
819	3035	666
820	3037	662
821	3039	658
822	3040	653
823	3042	649
824	3044	645
825	3046	641
826	3048	637
827	3049	633
828	3051	629
829	3053	625
830	3055	621
831	3056	617
832	3057	613
833	3059	608
834	3061	604
835	3063	600
836	3065	596
837	3066	592
838	3068	588
839	3070	584
840	3072	580
841	3074	576
842	3075	572
843	3078	568
844	3080	565
845	3082	561
846	3083	557
847	3084	552
848	3086	548
849	3088	544
850	3090	541
851	3092	537
852	3093	533
853	3095	529
854	3097	525
855	3099	521
856	3101	517
857	3102	513
858	3106	509
859	3108	506
860	3109	502
861	3111	498
